Diversity	LongTemp	CUETemp	Moisture	SampleID	DNAug.g_new	GROWTH	CumulativeRespiration	CUE	16S_simpson	16S_shannon	16S_inversedSimpson	16S_OUTs	16S_J	16S_PD
D0	15	15	30	1	0.566517424	0.646119713	0.586877018	52.40238656	0.466481615	1.270626657	1.874349652	35	0.357384604	3
D0	15	15	30	2	1.201933519	0.710111982	0.61393617	53.63188499	0.802049249	2.021865605	5.051761592	35	0.568682888	4
D0	15	15	30	3	1.182716829	0.859475921	0.624083351	57.9333726	0.536913244	1.421845322	2.159422585	45	0.373514943	5
D0	15	15	30	4	1.624749277	0.538916096	0.681584049	44.15534879	0.792425033	1.844552403	4.817536588	39	0.50348611	4
D0	15	15	30	5	0.485278543	0.58669048	0.34	63.3	0.856831249	2.602416104	6.984764442	94	0.572803709	9
D0	15	15	60	6	2.653100775	1.192389562	0.539523503	68.84811866	0.874250721	2.497474787	7.952331873	58	0.615074459	4
D0	15	15	60	7	4.888095238	1.568050482	0.319667896	83.06591177	0.776436056	2.045501823	4.472993192	57	0.505930221	4
D0	15	15	60	8	3.53935743	2.504118594	0.478640411	83.9530981	0.887532188	2.725776382	8.891432895	57	0.674187934	4
D0	15	15	60	9	7.225968992	0.358626674	0.458346048	43.89701941	0.803509789	2.004284058	5.08931205	43	0.532884185	3
D0	15	15	60	10	6.636078431	1.259327193	0.607171382	67.4700324	0.829512567	2.194700367	5.86553497	59	0.538241622	5
D0	25	25	30	11	0.702255644	0.203660722	0.495552381	29.12713175	0.858447854	2.427731329	7.064534342	38	0.667401739	3
D0	25	25	30	12	2.828029021	0.642858017	0.394080563	61.99576615	0.805622947	2.210096757	5.144640184	47	0.574029099	3
D0	25	25	30	13	1.636531134	0.243761976	0.387315775	38.6262985	0.908583388	2.966917452	10.93893084	61	0.721724273	4
D0	25	25	30	14	2.400663948	0.363426905	0.377168593	49.07225414	0.827643797	2.252970061	5.801937978	46	0.588451575	2
D0	25	25	30	15	2.326906738	0.035439554	0.19451932	15.41125726	0.882525795	2.658495231	8.51250709	52	0.672824918	5
D0	25	25	60	16	2.495308532	1.332511076	4.314275153	23.59768942	0.826753891	2.377609794	5.772135421	50	0.607769891	4
D0	25	25	60	17	3.498823529	1.960126257	1.013058656	65.9268197	0.843924063	2.455860611	6.407137564	62	0.595052252	4
D0	25	25	60	18	1.830651341	1.340556375	1.029970626	56.55098527	0.813621084	2.481937049	5.365413745	65	0.594563199	5
D0	25	25	60	19	1.729948315	4.584585091	2.362633843	65.9916599	0.863952167	2.475204505	7.35035597	66	0.590789613	5
D0	25	25	60	20	3.805220884	5.028562766	1.41894593	77.99233786	0.812061641	2.323891415	5.320893548	54	0.582577265	4
D1	15	15	30	21	2.158241758	0.667503467	0.627465745	51.54589474	0.015348384	0.057497448	1.015587629	7	0.029547843	1
D1	15	15	30	22	1.688014981	0.372891565	0.295991138	55.74842396	0.40226203	0.778402812	1.672973862	10	0.338056046	1
D1	15	15	30	23	1.874358974	0.568951326	0.373786199	60.35097902	0.722185697	1.445921705	3.599526689	6	0.806984269	1
D1	15	15	30	24	1.479120879	1.127324288	0.61393617	64.74185313	0.557714337	1.070457286	2.260982175	5	0.665112508	1
